id,name,meaning,gender,origin,PeoplesCount,WhenPeoplesCount,Source
28345,abd al sami,Servant of the all hearing,Male,Arabic,1,04.07.2016 13:38:07,myData.biz
28346,abd er rahman,Servant of the merciful one,Male,Arabic,8,04.07.2016 13:38:16,myData.biz
28347,abda,servant,Male,Arabic,3000,04.07.2016 13:38:25,myData.biz
28348,abdalla,"Swahili equivalent of Arabic, ABDULLAH, &quot;servant of God.&quot;",Male,African,26000,04.07.2016 13:38:31,myData.biz
28349,abdalrahman,Servant of the merciful one,Male,Arabic,3000,04.07.2016 13:38:39,myData.biz
28350,abdel,Servant,Male,Arabic,69000,04.07.2016 13:38:47,myData.biz
28351,abdelahi,"Muslim name, popular in Somalia. Meaning unknown.",Male,African,52,04.07.2016 13:38:57,myData.biz
28352,abdera,from Abdera,Female,Greek,155,04.07.2016 13:39:04,myData.biz
28353,abderus,myth name (a friend of Hercules),Male,Greek,25,04.07.2016 13:39:11,myData.biz
28354,abdi,"Muslim name, popular in Somalia, meaning &quot;my servant.&quot;",Male,African,68000,04.07.2016 13:39:19,myData.biz
28355,abdikarim,"Muslim name, popular in Somalia, meaning &quot;slave of God.&quot;",Male,African,1000,04.07.2016 13:39:27,myData.biz
28356,abdimelech,Name of an Aethiopian eunuch who lived in ancient Rome.Name means &quot;servant to kings.&quot; Could be shortened to ABDI or MELECH.,Male,African,0,04.07.2016 13:39:35,myData.biz
28357,abdiraxman,"Somali equivalent of Muslim, ABD AL RAHMAN, meaning &quot;servant of the Mercifully Gracious.&quot;",Male,African,146,04.07.2016 13:39:43,myData.biz
28358,abdul,Servant of God,Male,Arabic,504000,04.07.2016 13:39:53,myData.biz
28359,abdul- matin,servant of the strong one,Male,Arabic,698,04.07.2016 13:39:59,myData.biz
28360,abdul- qadir,servant of the capable and powerful one,Male,Arabic,3000,04.07.2016 13:40:07,myData.biz
28361,abdul- rashid,servant of the guided one,Male,Arabic,3000,04.07.2016 13:40:15,myData.biz
28362,abdul- sami,servant of the all-hearing,Male,Arabic,834,04.07.2016 13:40:23,myData.biz
28363,"abdul, abdel",servant of,Male,Arabic,17,04.07.2016 13:40:32,myData.biz
28364,abdul-alim,servant of the omniscient,Male,Arabic,1000,04.07.2016 13:40:39,myData.biz
28365,abdul-aliyy,servant of the most high,Male,Arabic,11,04.07.2016 13:40:47,myData.biz
28366,abdul-azim,servant of the mighty,Male,Arabic,742,04.07.2016 13:40:56,myData.biz
28367,abdul-aziz,servant of the powerful one,Male,Arabic,24000,04.07.2016 13:41:03,myData.biz
28368,abdul-bari,servant of the Creator,Male,Arabic,1000,04.07.2016 13:41:11,myData.biz
28369,abdul-basit,servant of the extender,Male,Arabic,5000,04.07.2016 13:41:19,myData.biz
28370,abdul-fattah,servant of the opener of the gates of sustenance,Male,Arabic,1000,04.07.2016 13:41:27,myData.biz
28371,"abdul-ghaffar, abdul-ghaf",servant of the forgiver,Male,Arabic,0,04.07.2016 13:41:35,myData.biz
28372,abdul-hadi,servant of the guide,Male,Arabic,6000,04.07.2016 13:41:43,myData.biz
28373,abdul-hafiz,servant of the protector,Male,Arabic,0,04.07.2016 13:41:51,myData.biz
28374,abdul-hakam,servant of the arbitrator,Male,Arabic,134,04.07.2016 13:42:00,myData.biz
